WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;005;0,00279842;80 cm;3;YES;LUAPAN KALI CILIWUNG;2021-10-29 9:00:19;2021-10-29 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;0,00227763;80 cm;3;YES;LUAPAN KALI CILIWUNG;2021-10-29 9:00:19;2021-10-29 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;008;0,00346073;50 cm;2;YES;LUAPAN KALI CILIWUNG;2021-10-29 9:00:19;2021-10-29 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;008;0,0026317;50 cm;2;YES;LUAPAN KALI CILIWUNG;2021-10-29 9:00:19;2021-10-29 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;004;0,00251303;80 cm;3;YES;LUAPAN KALI CILIWUNG;2021-10-29 9:00:19;2021-10-29 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;005;007;0,00985252;60 cm;2;YES;LUAPAN KALI CILIWUNG;2021-10-29 9:00:19;2021-10-29 09:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;004;010;0,01576203;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;009;010;0,06051581;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;011;010;0,0229731;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;KALI DERES;TEGAL ALUR;001;003;0,02067218;55 CM;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;KALI DERES;TEGAL ALUR;005;003;0,01993839;40 s.d 45 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;004;0,00275061;110 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;007;0,00324067;40 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;008;0,00241705;40 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;016;008;0,00087766;75 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;014;008;0,00193124;75 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;004;003;0,00792003;120 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;004;008;0,02393557;50 cm;1;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;011;005;0,0129285;120 cm;1;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;009;005;0,01356839;120 cm;1;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;010;002;0,02096866;60 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;015;003;0,00523928;90 cm;1;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;CAWANG;002;003;0,00782334;120 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;005;0,00279842;110 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;0,00227763;110 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;007;0,00098113;70 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;005;007;0,00134601;70 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;002;007;0,00248924;50 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;004;007;0,00167955;50 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;001;007;0,00180337;50 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;003;007;0,0015746;50 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;017;007;0,00079474;40 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;008;0,00346073;75 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;008;0,0026317;75 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;008;0,0017775;40 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;008;0,00355319;70 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;004;0,00251303;110 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;005;005;0,04683299;70 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;007;005;0,07496417;60 cm;2;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;010;011;0,00973474;80 cm;3;YES;Luapan Kali Ciliwung;2021-05-17 9:00:22;2021-05-17 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;004;0,00275061;200 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;007;0,00324067;80 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;008;0,00241705;125 cm;3;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;004;008;0,00446034;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;016;008;0,00087766;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;017;005;0,00353232;90 cm;3;YES;Luapan Kali Pesanggrahan;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA TIMUR;JATINEGARA;BIDARA CINA;017;007;0,01359958;190 cm;4;YES;Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PASAR MINGGU;PEJATEN TIMUR;006;008;0,00958391;80 cm;3;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
JAKARTA SELATAN;PASAR MINGGU;PEJATEN TIMUR;007;008;0,00725191;80 cm;3;YES;Curah Hujan Tinggi dan Luapan Kali Ciliwung;2021-11-08 9:00:19;2021-11-08 09:00;;
